url_hash,facebook_shares,twitter_shares,source_credibility,misinformation
8361,56000,124,alternative,1
8363,380,186,alternative,1
8364,562,45,alternative,1
8365,9,3,alternative,1
8368,26,8,alternative,1
8376,135,15,socialmedia,1
8384,499,161,alternative,1
8388,16000,241,mainstream,1
8406,848,1,alternative,1
8431,37000,742,mainstream,2
8442,55000,12000,mainstream,2
8445,948,883,mainstream,2
8447,292,440,mainstream,2
8448,3,158,mainstream,2
8453,656,105,socialmedia,1
8454,206,31,socialmedia,1
8455,591,21,socialmedia,1
8460,78,16,alternative,1
8473,4,0,socialmedia,1
8480,40,5,alternative,1
8481,52,0,alternative,1
8486,24000,115,mainstream,1
8513,146,0,alternative,1
8522,98,7,mainstream,2
8523,13,0,alternative,1
8542,307,158,alternative,1
8543,186,31,alternative,1
8545,22000,613,alternative,1
8547,32000,28000,alternative,1
8548,56,32,alternative,1
8549,12000,322,alternative,1
8550,147,37,alternative,1
8551,146,63,alternative,1
8554,81,125,alternative,1
8555,285,96,alternative,1
8557,530,229,alternative,1
8558,528,306,alternative,1
8562,863,13000,alternative,1
8564,53,318,alternative,1
8565,31,19,alternative,1
8567,217,21,alternative,1
8631,411,455,alternative,1
8635,22,7,alternative,1
8636,4,5,alternative,1
8652,11000,120,mainstream,1
8654,11000,50,mainstream,2
8663,45000,27,alternative,1
8680,37,8,alternative,1
8681,71,7,alternative,1
8682,68,20,alternative,1
8686,85,18,alternative,1
8688,0,9,alternative,1
8689,0,10,alternative,1
8690,0,16,alternative,1
8691,0,18,alternative,1
8692,0,69,alternative,1
8693,0,6,alternative,1
8696,103,202,alternative,1
8703,140,57,alternative,1
8704,901,508,alternative,1
8719,49,19,alternative,1
8720,85,1,alternative,1
8727,10,0,alternative,1
8734,154000,4,alternative,1
8786,10,2,alternative,1
8788,51,37,alternative,1
8789,3,2,alternative,1
8790,0,1,alternative,1
8801,37,129,alternative,2
8804,18,1,alternative,1
8806,947,213,alternative,1
8810,363,2,alternative,1
8813,44,0,alternative,1
8814,50,0,alternative,1
8815,28,0,alternative,1
8816,114,0,alternative,1
8817,0,0,alternative,1
8855,127,39,alternative,1
8878,114000,324,alternative,1
8890,9,0,mainstream,1
8892,196,5,alternative,1
8899,12,0,alternative,1
8960,76,30,socialmedia,1
8974,0,1,socialmedia,1
8976,1,1,socialmedia,1
8983,0,2,socialmedia,1
8989,3,1,socialmedia,1
9071,0,1,socialmedia,1
9196,0,1,socialmedia,1
9205,0,0,socialmedia,1
9216,0,1,socialmedia,1
9226,0,4,socialmedia,1
9240,0,5,socialmedia,1
9241,38,34,socialmedia,1
9242,8,8,socialmedia,1
9243,138,39,socialmedia,1
9249,7,6,socialmedia,1
9260,1,1,socialmedia,1
9264,3,2,socialmedia,1
9278,196,54,socialmedia,1
9301,245,217,socialmedia,1
9305,8,1,socialmedia,1
9320,0,1,socialmedia,1
9361,18,1,socialmedia,1
9382,3,0,alternative,1
9386,20,10,alternative,1
9387,5,9,alternative,1
9390,11,25,mainstream,2
9410,71,5,alternative,1
9412,99,28,alternative,1
9413,173,55,alternative,1
9414,144,209,alternative,1
9415,314,158,alternative,1
9416,153,75,alternative,1
9417,5,7,alternative,1
9418,66,33,alternative,1
9451,147,137,mainstream,2
9452,17000,260,mainstream,2
9454,122000,48000,mainstream,2
9455,26,19,mainstream,2
9467,571,180,mainstream,1
9473,42000,18000,mainstream,1
9477,35000,45000,mainstream,1
9479,75000,998,mainstream,1
9498,315,0,alternative,1
9518,4,74,alternative,1
9522,22,155,alternative,1
9524,38,3,alternative,1
9527,3,19,alternative,1
9533,4,1,alternative,1
9539,8,47,alternative,1
9542,11,0,alternative,1
9543,907,256,alternative,1
9550,11,0,alternative,1
9551,24,0,alternative,1
9567,43000,11,alternative,1
9571,52,3,alternative,1
9573,62,16,alternative,1
9574,161,20,alternative,1
9578,17000,176,alternative,1
9592,0,5,socialmedia,1
9612,39,0,mainstream,1
9621,19000,412,alternative,1
9624,2,0,alternative,1
9647,68000,401,alternative,1
9663,2,0,alternative,1
9670,553,699,mainstream,2
9673,157000,79000,mainstream,1
9675,2,22,alternative,1
9696,123000,14000,alternative,1
9697,38000,406,alternative,1
9698,1,55,alternative,1
9702,6,3,alternative,1
9713,477,539,alternative,1
9714,17000,418,alternative,1
9718,13000,282,alternative,1
9719,31000,821,alternative,1
9725,16000,17000,alternative,1
9728,13000,969,alternative,1
9731,18000,35000,alternative,1
9733,590,421,alternative,1
9736,982,48000,alternative,1
9783,34,7,alternative,1
9784,15000,54,alternative,1
9785,222,12,alternative,1
9790,131,0,alternative,2
9810,1,0,alternative,1
9811,20,3,alternative,1
9832,501,219,mainstream,2
9833,197,8,mainstream,2
9841,69,26,alternative,1
9843,62,26,alternative,2
9863,17,10,socialmedia,1
9864,25,22,socialmedia,1
9879,340,17,alternative,1
9882,23,1,alternative,1
9883,31000,0,alternative,1
9886,9,5,alternative,1
9889,440,40,alternative,1
9890,522,288,alternative,1
9892,15000,306,alternative,1
9893,64,9,alternative,1
9894,563,217,alternative,1
9899,34,2,alternative,1
9904,2,0,alternative,1
9912,0,58,alternative,1
9915,0,25,alternative,1
9917,0,8,alternative,1
9918,0,5,alternative,1
9928,496,22,alternative,2
9950,26000,51,alternative,1
9951,831,12,alternative,1
9952,45000,147,alternative,1
9953,578,15,alternative,1
9961,206,21000,mainstream,2
9963,318,120,mainstream,1
9980,59000,104000,mainstream,1
9997,105000,261000,mainstream,1
10004,105000,61000,mainstream,1
10012,105000,849,mainstream,1
10014,58000,810,mainstream,1
10022,362,168,alternative,1
10023,23000,17000,alternative,1
10030,826000,27000,alternative,1
10032,72000,700,alternative,1
10033,468,52,alternative,1
10049,217,1,alternative,1
10056,470,3,mainstream,2
10085,202,13,mainstream,1
10086,47,2,mainstream,1
10115,19,2,alternative,1
10809,1000,18000,alternative,1
10810,28000,25000,alternative,1
10812,18000,37000,alternative,1
10813,132,200,alternative,1
10814,72000,89000,alternative,1
10815,141000,15000,alternative,1
10821,192,99,alternative,1
10822,15,26,alternative,1
10823,79000,93000,alternative,1
10825,154,76,alternative,1
10826,144,49,alternative,1
10828,625,286,alternative,1
10829,302,154,alternative,1
10830,965,882,alternative,1
10831,12000,33000,alternative,1
10832,63,73,alternative,1
10833,586,622,alternative,1
10835,621,933,alternative,1
10836,24000,17000,alternative,1
10837,448,598,alternative,1
10838,417,482,alternative,1
10839,37,56,alternative,1
10840,118,253,alternative,1
10841,921,342,alternative,1
10842,108,207,alternative,1
10843,495,201,alternative,1
10844,442,420,alternative,1
10845,694,675,alternative,1
10846,16000,17000,alternative,1
10847,68000,66000,alternative,1
10850,723,421,alternative,1
10851,217,172,alternative,1
10852,226,407,alternative,1
10853,41000,115000,alternative,1
10854,220,250,alternative,1
10855,216,111,alternative,1
10856,998,15000,alternative,1
10857,774,11000,alternative,1
10858,212,366,alternative,1
10859,19000,29000,alternative,1
10861,35,77,alternative,1
10862,730,798,alternative,1
10863,347,697,alternative,1
10864,49,136,alternative,1
10865,77,50,alternative,1
10866,123,99,alternative,1
10867,67000,79000,alternative,1
10868,262,744,alternative,1
10869,166,161,alternative,1
10870,904,84000,alternative,1
10885,17,1,alternative,1
10887,7,0,alternative,1
10891,1,2,alternative,1
10892,0,1,alternative,1
10893,44,14,alternative,1
10915,0,1,alternative,1
10917,384,8,alternative,1
10932,102,59,alternative,2
10956,284,5,mainstream,2
10985,3000,23000,alternative,1
10998,802,22000,mainstream,2
11016,41000,846,mainstream,2
